timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200428T1900,13.57507,81.0,1009.6,0.2,0.0,100.0,0.0,100.0,100.0,0.0,125.49,36.751564,88.738434,0.1224,0.0775125,174.0,7.92,5.842608,226.84761,10.97262,221.0091,11.212135,222.39745,13.246826,227.2026,26.183659,251.56506,38.580513,220.07939,15.17,5.23,-4.23,13.36,12.32,0.279,2.8252459
20200428T2000,13.12507,84.0,1009.8,0.5,0.0,100.0,0.0,100.0,100.0,0.0,66.75,35.734184,31.015816,0.0792,0.044077348,230.0,9.72,5.5434246,234.78241,10.739832,230.44034,11.019764,231.63252,16.075521,235.95407,25.323128,255.17352,36.93291,223.02507,14.99,5.0,-4.79,12.31,12.31,0.281,2.3099546
20200428T2100,12.30507,89.0,1010.6,0.7,0.0,100.0,0.0,100.0,100.0,0.0,9.79,6.1887484,3.6012516,0.0216,0.013350273,290.0,7.2,4.3692846,232.43141,10.086427,235.1755,11.298495,239.34933,19.161337,244.39783,22.45315,257.96942,34.94968,221.24144,14.78,4.64,-5.21,11.11,12.18,0.287,1.504529
20200428T2200,11.74507,94.0,1011.1,0.9,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00576,0.0,397.0,8.64,4.9121733,229.39871,10.799999,233.1301,11.983188,237.26477,21.325253,248.1986,21.046917,257.15228,33.40831,217.11687,14.18,3.99,-5.58,10.8,12.01,0.293,0.7907505
20200428T2300,11.39507,97.0,1011.4,1.8,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.00144,0.0,457.0,12.599999,6.074855,232.12502,11.720751,227.48956,14.386494,238.29858,23.906818,251.56506,21.407139,250.34618,33.092598,210.74997,13.5,3.9,-5.66,10.49,11.82,0.303,0.3862753
20200429T0000,11.23507,97.0,1012.0,2.2,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,13.679999,6.675965,241.38954,11.808878,232.43141,14.973577,242.8189,23.664352,256.8094,23.358425,245.40988,32.535713,204.8637,13.2,3.63,-5.94,10.44,11.66,0.315,0.3821764
20200429T0100,11.01507,97.0,1012.4,2.5,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,14.4,7.033162,245.37643,11.298495,239.34933,14.986553,245.89777,24.858253,259.992,28.03612,245.73871,31.222609,200.94266,12.87,2.96,-6.21,10.24,11.5,0.327,0.37660503
20200429T0200,10.58507,97.0,1012.8,1.3,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,14.04,6.9264,247.38014,11.592895,244.23068,16.055353,250.34618,25.86494,261.1932,32.385994,245.71417,31.65135,199.2593,12.4,2.43,-6.73,9.82,11.34,0.324,0.36592007
20200429T0300,10.05507,95.0,1013.1,0.6,0.0,100.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,11.879999,5.0264254,237.99463,9.255571,256.50427,13.004921,265.23636,24.48,270.0,33.108257,226.76239,36.749985,209.32718,11.81,1.98,-7.37,9.38,11.01,0.31,0.5885334
20200429T0400,9.61507,93.0,1013.2,0.2,0.0,91.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.00144,0.0,155.0,10.799999,5.842608,226.84761,11.609651,240.25513,13.32,251.07536,22.505037,262.6476,33.636406,227.60257,33.01418,242.03778,11.29,1.57,-8.05,9.02,10.7,0.3,0.7998514
