Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;12;19;08;00;6.42;72.00;1017.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.56;45.00;5.50;31.61;16.39;188.84;9.00
2019;12;19;09;00;6.62;73.00;1016.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.32;12.53;5.35;19.65;13.20;169.00;7.56
2019;12;19;10;00;6.66;70.00;1017.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.04;24.92;1.08;90.00;2.97;75.96;10.83;164.58;3.24
2019;12;19;11;00;6.89;66.00;1016.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;153.08;0.36;90.00;1.48;75.96;13.08;187.91;2.88
2019;12;19;12;00;8.46;73.00;1015.60;0.00;0.00;0.00;0.00;4.50;15.00;0.00;0.00;60.00;252.76;6.29;23.63;6.49;33.69;14.59;195.75;5.04
2019;12;19;13;00;10.30;72.00;1014.00;0.00;0.00;0.00;0.00;3.30;11.00;0.00;0.00;57.13;324.85;9.20;30.58;9.79;36.03;18.25;194.86;25.56
2019;12;19;14;00;10.96;69.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;57.89;337.31;9.18;25.56;9.98;25.64;16.95;183.65;21.96
2019;12;19;15;00;11.58;62.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;317.73;8.28;360.00;8.65;357.61;22.55;199.59;23.40
2019;12;19;16;00;11.69;62.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;253.65;5.05;4.09;5.05;4.09;17.76;197.70;16.92
2019;12;19;17;00;11.18;65.00;1011.50;0.00;0.00;0.00;0.00;1.50;5.00;0.00;0.00;60.00;152.19;3.55;336.04;2.41;333.43;29.88;201.93;19.80
