Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;27;11;00;5.96;49.00;1008.80;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;252.76;39.77;206.33;48.50;208.85;64.27;208.43;53.64
2020;02;27;12;00;0.94;94.00;1007.80;0.50;1.50;0.35;1.05;100.00;100.00;100.00;100.00;0.00;149.52;41.39;195.12;52.74;194.23;82.16;202.41;63.00
2020;02;27;13;00;2.04;88.00;1005.90;1.90;3.00;1.33;2.10;100.00;100.00;100.00;100.00;0.00;64.08;55.78;198.43;69.33;198.15;93.91;210.40;74.52
2020;02;27;14;00;3.72;86.00;1005.50;0.90;2.70;0.63;1.89;100.00;0.00;100.00;100.00;0.00;140.62;36.26;204.02;45.95;203.55;73.32;209.08;72.72
2020;02;27;15;00;4.89;85.00;1004.30;1.20;2.10;0.00;1.47;100.00;0.00;100.00;100.00;0.00;188.68;55.54;206.57;69.08;205.63;96.47;212.50;79.56
2020;02;27;16;00;6.24;84.00;1003.70;0.50;1.60;0.00;1.12;100.00;0.00;25.00;100.00;0.00;249.20;58.41;210.36;70.82;210.21;90.37;217.55;73.80
2020;02;27;17;00;6.60;83.00;1004.20;0.60;1.40;0.00;0.00;100.00;0.00;0.00;100.00;0.00;181.56;53.94;215.49;65.83;215.43;81.97;225.71;67.68
2020;02;27;18;00;6.01;87.00;1006.60;0.40;1.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;56.07;47.15;227.79;56.19;229.68;79.32;254.20;57.60
2020;02;27;19;00;6.64;84.00;1008.70;0.00;1.20;0.00;0.00;12.00;0.00;0.00;12.00;0.00;2.67;35.33;272.92;46.39;282.09;72.32;298.22;46.44
2020;02;27;20;00;4.03;81.00;1011.30;0.00;1.10;0.00;0.00;11.00;0.00;0.00;11.00;0.00;0.00;27.86;302.87;37.64;303.69;62.65;313.14;40.68
